experiment_id,dataset_name,model_type,n_features,n_qubits,circuit_depth,accuracy,balanced_accuracy,macro_f1,precision,recall,confusion_matrix,runtime_seconds,n_trainable_params,n_circuit_evaluations,n_shots,kernel_evaluation_cost,seed,noise_level,extra
iris_Full_s42_logreg,iris_Full_s42,logreg,4,,,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",9.663930177688599,15,,,,42,,{}
iris_Full_s42_svm,iris_Full_s42,svm,4,,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,"[[10, 0, 0], [0, 9, 1], [0, 1, 9]]",0.03343772888183594,,,,,42,,{}
iris_Full_s42_svm,iris_Full_s42,svm,4,,,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",0.1339411735534668,,,,,42,,{}
iris_Full_s42_rf,iris_Full_s42,rf,4,,,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",11.358235359191895,4,,,,42,,{}
iris_Full_s42_mlp,iris_Full_s42,mlp,4,,,0.6666666666666666,0.6666666666666666,0.5893550893550893,0.6319444444444445,0.6666666666666666,"[[10, 0, 0], [2, 1, 7], [0, 1, 9]]",0.32383227348327637,403,,,,42,,{}
iris_Full_s42_QK_zz_q2_d1,iris_Full_s42,Quantum Kernel,4,2,1,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",28.433094263076782,0,0,1024,28.41998815536499,42,,"{'feature_map_type': 'zz', 'feature_map_info': {'num_qubits': 2, 'num_parameters': 2, 'depth': 1, 'num_gates': 1, 'type': 'ZZFeatureMap'}}"
iris_Full_s42_QK_zz_q2_d2,iris_Full_s42,Quantum Kernel,4,2,2,0.8333333333333334,0.8333333333333334,0.8319865319865319,0.8416666666666667,0.8333333333333334,"[[9, 0, 1], [1, 7, 2], [0, 1, 9]]",124.43515181541443,0,0,1024,124.38609957695007,42,,"{'feature_map_type': 'zz', 'feature_map_info': {'num_qubits': 2, 'num_parameters': 2, 'depth': 1, 'num_gates': 1, 'type': 'ZZFeatureMap'}}"
iris_Full_s42_QK_zz_q4_d1,iris_Full_s42,Quantum Kernel,4,4,1,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",132.2057707309723,0,0,1024,132.1885645389557,42,,"{'feature_map_type': 'zz', 'feature_map_info': {'num_qubits': 4, 'num_parameters': 4, 'depth': 1, 'num_gates': 1, 'type': 'ZZFeatureMap'}}"
iris_PCA4_s42_logreg,iris_PCA4_s42,logreg,4,,,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",0.06305122375488281,15,,,,42,,{}
iris_PCA4_s42_svm,iris_PCA4_s42,svm,4,,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,"[[10, 0, 0], [0, 9, 1], [0, 1, 9]]",0.03182649612426758,,,,,42,,{}
